file,speaker,n_ips,n_turns,n_vowels_total,art_rate_median,art_rate_mean,art_rate_sd,sylls_per_ip_median,syl_slope,speech_time_s,pause_time_s,total_duration_s,n_pauses,pause_median_ms,pause_mean_ms,pause_sd_ms,log_pause_median_ms,pauses_per_100_vowels,overall_art_rate,overall_spk_rate,pitch_range_median,pitch_range_mean,pitch_range_sd,pitch_level_median
VAL_H1A_2019_001,SPEAKER_00,23,16,284,6.531,6.306,1.346,12.0,-0.3508,46.246,4.661,50.907,7,590.0,665.857,237.944,6.38,2.46,6.141,5.579,3.359,3.491,0.387,94.23
VAL_H1A_2019_001,SPEAKER_01,142,16,1870,6.444,6.357,2.14,10.0,0.0234,299.744,96.086,395.83,126,671.5,762.587,487.106,6.51,6.74,6.239,4.724,4.623,4.908,2.164,82.227
VAL_H1A_2020_002,SPEAKER_00,122,13,1529,5.288,5.3,1.891,10.5,0.0117,291.841,95.991,387.832,109,670.0,880.651,610.14,6.507,7.13,5.239,3.942,4.184,4.39,1.533,82.88
VAL_H1A_2020_002,SPEAKER_01,41,12,333,6.25,5.961,1.942,6.0,-0.0502,59.031,30.411,89.442,29,710.0,1048.655,854.403,6.565,8.71,5.641,3.723,4.36,4.592,2.054,84.905
VAL_H1A_2020_003,SPEAKER_00,64,27,545,5.672,5.386,1.857,8.0,0.0569,100.76,38.373,139.133,37,780.0,1037.105,815.344,6.659,6.79,5.409,3.917,3.317,3.394,0.99,92.339
VAL_H1A_2020_003,SPEAKER_01,119,28,1650,6.422,6.328,1.876,12.0,-0.0049,260.199,66.293,326.492,91,633.0,728.495,400.681,6.45,5.52,6.341,5.054,3.258,3.371,1.665,78.832
VAL_H1A_2021_0031,SPEAKER_00,29,21,358,6.772,6.82,1.6,11.0,-0.2714,56.023,32.435,88.458,8,1239.0,4054.375,7644.31,7.122,2.23,6.39,4.047,4.184,4.837,2.964,94.309
VAL_H1A_2021_0031,SPEAKER_01,123,21,1938,5.572,5.6,1.838,13.0,-0.0321,336.465,76.578,413.043,102,590.0,750.765,704.606,6.38,5.26,5.76,4.692,3.293,3.416,1.324,87.817
VAL_H1A_2021_0032,SPEAKER_00,153,20,2583,6.78,6.777,2.076,14.0,0.0694,383.926,88.701,472.627,133,520.0,666.925,522.551,6.254,5.15,6.728,5.465,3.501,3.745,1.524,79.132
VAL_H1A_2021_0032,SPEAKER_01,28,19,276,6.357,6.258,1.87,10.5,0.0805,44.461,6.246,50.707,9,670.0,694.0,152.829,6.507,3.26,6.208,5.443,7.787,7.481,1.182,93.886
VAL_H1A_2021_0032,UNKNOWN,1,1,2,16.667,16.667,0.0,2.0,,0.12,0.0,0.12,0,,,,,0.0,16.667,16.667,,,,
VAL_H1A_2021_0033,SPEAKER_00,29,16,280,6.78,6.645,2.42,8.0,0.0749,42.805,11.765,54.57,13,730.0,905.0,526.207,6.593,4.64,6.541,5.131,2.917,3.445,1.578,92.523
VAL_H1A_2021_0033,SPEAKER_01,167,16,2008,6.411,6.52,2.018,10.0,0.0326,322.488,101.968,424.456,151,530.0,675.285,572.871,6.273,7.52,6.227,4.731,3.061,4.013,3.639,81.222
VAL_H1A_2021_0034,SPEAKER_00,197,11,2103,6.604,6.408,2.403,9.0,-0.0174,333.886,182.742,516.628,186,815.0,982.483,566.019,6.703,8.84,6.299,4.071,2.462,2.912,1.53,77.588
VAL_H1A_2021_0034,SPEAKER_01,19,11,225,6.667,6.691,1.723,11.0,0.286,35.175,11.84,47.015,8,960.0,1480.0,1213.528,6.867,3.56,6.397,4.786,2.838,2.838,0.0,92.187
VAL_H1A_2021_0039,SPEAKER_00,144,11,2378,7.024,6.986,1.914,14.0,0.0105,350.598,117.084,467.682,133,610.0,880.331,1889.418,6.413,5.59,6.783,5.085,4.586,4.915,2.163,80.001
