file,speaker,turn_id,turn_start,turn_end,turn_duration_s,n_ips,n_vowels,speech_time_s,pause_time_s,n_pauses,mean_pause_s,speech_rate_vps,speaking_proportion,conf_median_ips
VAL_H1A_2019_001,SPEAKER_01,1,495.0816,520.4036,25.322,8,93,19.328,5.994,7,0.8563,3.673,0.763,0.8827
VAL_H1A_2019_001,SPEAKER_00,2,522.2746,523.6156,1.341,1,10,1.341,0.0,0,0.0,7.457,1.0,
VAL_H1A_2019_001,SPEAKER_01,3,527.3246,565.4976,38.173,15,165,28.462,9.711,14,0.6936,4.322,0.746,0.7875
VAL_H1A_2019_001,SPEAKER_00,4,565.7686,568.5086,2.74,1,19,2.74,0.0,0,0.0,6.934,1.0,
VAL_H1A_2019_001,SPEAKER_01,5,568.8296,579.5526,10.723,5,51,7.792,2.931,4,0.7328,4.756,0.727,0.7381
VAL_H1A_2019_001,SPEAKER_00,6,581.6556,584.1956,2.54,1,17,2.54,0.0,0,0.0,6.693,1.0,
VAL_H1A_2019_001,SPEAKER_01,7,585.2076,610.6956,25.488,10,118,19.566,5.922,9,0.658,4.63,0.768,0.7996
VAL_H1A_2019_001,SPEAKER_00,8,611.6966,618.1276,6.431,1,42,6.431,0.0,0,0.0,6.531,1.0,
VAL_H1A_2019_001,SPEAKER_01,9,619.1586,653.8866,34.728,10,150,24.651,10.077,9,1.1197,4.319,0.71,0.7339
VAL_H1A_2019_001,SPEAKER_00,10,655.2286,659.1796,3.951,2,24,3.51,0.441,1,0.441,6.074,0.888,
VAL_H1A_2019_001,SPEAKER_01,11,660.8506,665.7916,4.941,1,32,4.941,0.0,0,0.0,6.476,1.0,0.6308
VAL_H1A_2019_001,SPEAKER_00,12,665.8116,667.4616,1.65,1,12,1.65,0.0,0,0.0,7.273,1.0,
VAL_H1A_2019_001,SPEAKER_01,13,668.8726,714.3916,45.519,16,236,34.841,10.678,15,0.7119,5.185,0.765,0.7889
VAL_H1A_2019_001,SPEAKER_00,14,715.6516,720.1416,4.49,2,22,3.68,0.81,1,0.81,4.9,0.82,
VAL_H1A_2019_001,SPEAKER_01,15,722.7526,724.7536,2.001,2,11,1.391,0.61,1,0.61,5.497,0.695,0.7226
VAL_H1A_2019_001,SPEAKER_00,16,725.4836,730.3436,4.86,2,18,3.69,1.17,1,1.17,3.704,0.759,
VAL_H1A_2019_001,SPEAKER_01,17,737.3616,750.9686,13.607,7,61,9.33,4.277,6,0.7128,4.483,0.686,0.8306
VAL_H1A_2019_001,SPEAKER_00,18,752.2226,753.3226,1.1,1,8,1.1,0.0,0,0.0,7.273,1.0,
VAL_H1A_2019_001,SPEAKER_01,19,753.9946,763.1086,9.114,5,57,6.94,2.174,4,0.5435,6.254,0.761,0.7390
VAL_H1A_2019_001,SPEAKER_00,20,763.9036,768.8336,4.93,3,23,3.95,0.98,2,0.49,4.665,0.801,
VAL_H1A_2019_001,SPEAKER_01,21,771.1296,809.9836,38.854,12,211,31.198,7.656,11,0.696,5.431,0.803,0.8119
VAL_H1A_2019_001,SPEAKER_00,22,811.1136,814.0136,2.9,2,15,2.31,0.59,1,0.59,5.172,0.797,
VAL_H1A_2019_001,SPEAKER_01,23,815.4056,855.5566,40.151,15,164,27.608,12.543,14,0.8959,4.085,0.688,0.7695
VAL_H1A_2019_001,SPEAKER_00,24,856.9766,858.9966,2.02,1,13,2.02,0.0,0,0.0,6.436,1.0,
VAL_H1A_2019_001,SPEAKER_01,25,861.1006,862.7806,1.68,2,9,1.36,0.32,1,0.32,5.357,0.81,0.7656
VAL_H1A_2019_001,SPEAKER_00,26,863.2616,864.6826,1.421,1,9,1.421,0.0,0,0.0,6.334,1.0,
VAL_H1A_2019_001,SPEAKER_01,27,865.6426,905.5896,39.947,14,195,28.318,11.629,13,0.8945,4.881,0.709,0.7447
VAL_H1A_2019_001,SPEAKER_00,28,907.4106,910.7436,3.333,1,15,3.333,0.0,0,0.0,4.5,1.0,
VAL_H1A_2019_001,SPEAKER_01,29,912.6926,957.3336,44.641,15,200,35.732,8.909,14,0.6364,4.48,0.8,0.7486
VAL_H1A_2019_001,SPEAKER_00,30,957.8736,963.0436,5.17,2,27,4.5,0.67,1,0.67,5.222,0.87,
VAL_H1A_2019_001,SPEAKER_01,31,963.9376,984.8786,20.941,5,117,18.286,2.655,4,0.6638,5.587,0.873,0.8630
VAL_H1A_2019_001,SPEAKER_00,32,985.9886,988.0186,2.03,1,10,2.03,0.0,0,0.0,4.926,1.0,
VAL_H1A_2020_002,SPEAKER_00,1,517.7113,539.4163,21.705,7,88,14.898,6.807,6,1.1345,4.054,0.686,0.7602
VAL_H1A_2020_002,SPEAKER_01,2,541.9893,553.4173,11.428,4,41,6.42,5.008,3,1.6693,3.588,0.562,
VAL_H1A_2020_002,SPEAKER_00,3,554.4703,568.6973,14.227,6,58,10.547,3.68,5,0.736,4.077,0.741,0.8509
VAL_H1A_2020_002,SPEAKER_01,4,570.1473,580.3653,10.218,5,39,6.56,3.658,4,0.9145,3.817,0.642,
VAL_H1A_2020_002,SPEAKER_00,5,581.1063,612.1673,31.061,7,115,22.534,8.527,6,1.4212,3.702,0.725,0.8579
VAL_H1A_2020_002,SPEAKER_01,6,614.8993,632.1173,17.218,4,45,9.919,7.299,3,2.433,2.614,0.576,
VAL_H1A_2020_002,SPEAKER_00,7,633.4113,698.1573,64.746,22,228,47.886,16.86,21,0.8029,3.521,0.74,0.7990
VAL_H1A_2020_002,SPEAKER_01,8,699.5673,703.0773,3.51,1,26,3.51,0.0,0,0.0,7.407,1.0,
VAL_H1A_2020_002,SPEAKER_00,9,703.9393,716.9033,12.964,7,33,8.694,4.27,6,0.7117,2.546,0.671,0.8915
VAL_H1A_2020_002,SPEAKER_01,10,720.9803,730.1073,9.127,6,27,5.062,4.065,5,0.813,2.958,0.555,
VAL_H1A_2020_002,SPEAKER_00,11,730.7473,731.4283,0.681,1,4,0.681,0.0,0,0.0,5.874,1.0,0.8325
VAL_H1A_2020_002,SPEAKER_01,12,732.1883,732.5183,0.33,1,2,0.33,0.0,0,0.0,6.061,1.0,
VAL_H1A_2020_002,SPEAKER_00,13,733.1693,736.9993,3.83,2,22,3.6,0.23,1,0.23,5.744,0.94,0.7038
VAL_H1A_2020_002,SPEAKER_01,14,737.0523,744.1173,7.065,3,36,5.834,1.231,2,0.6155,5.096,0.826,
VAL_H1A_2020_002,SPEAKER_00,15,745.6273,764.5773,18.95,4,96,17.019,1.931,3,0.6437,5.066,0.898,0.8542
VAL_H1A_2020_002,SPEAKER_01,16,766.4643,771.7483,5.284,4,17,2.931,2.353,3,0.7843,3.217,0.555,
VAL_H1A_2020_002,SPEAKER_00,17,773.8033,904.7373,130.934,35,528,102.869,28.065,34,0.8254,4.033,0.786,0.7718
VAL_H1A_2020_002,SPEAKER_01,18,907.3213,914.0813,6.76,5,30,4.85,1.91,4,0.4775,4.438,0.717,
VAL_H1A_2020_002,SPEAKER_00,19,916.0043,923.0273,7.023,3,39,5.703,1.32,2,0.66,5.553,0.812,0.7697
VAL_H1A_2020_002,SPEAKER_01,20,924.7083,925.6683,0.96,1,6,0.96,0.0,0,0.0,6.25,1.0,
VAL_H1A_2020_002,SPEAKER_00,21,926.4893,958.5493,32.06,13,103,21.808,10.252,12,0.8543,3.213,0.68,0.8042
VAL_H1A_2020_002,SPEAKER_01,22,960.8893,968.9253,8.036,3,28,6.36,1.676,2,0.838,3.484,0.791,
VAL_H1A_2020_002,SPEAKER_00,23,971.6573,1000.3083,28.651,8,135,19.986,8.665,7,1.2379,4.712,0.698,0.7392
VAL_H1A_2020_002,SPEAKER_01,24,1003.0103,1012.5163,9.506,4,36,6.295,3.211,3,1.0703,3.787,0.662,
VAL_H1A_2020_002,SPEAKER_00,25,1013.5173,1034.5173,21.0,7,80,15.616,5.384,6,0.8973,3.81,0.744,0.7844
VAL_H1A_2020_003,SPEAKER_01,1,558.7677,563.8077,5.04,2,27,4.5,0.54,1,0.54,5.357,0.893,0.5230
VAL_H1A_2020_003,SPEAKER_00,2,564.5507,570.6937,6.143,3,15,4.633,1.51,2,0.755,2.442,0.754,
VAL_H1A_2020_003,SPEAKER_01,3,571.4547,581.6397,10.185,3,52,8.965,1.22,2,0.61,5.106,0.88,0.6539
VAL_H1A_2020_003,SPEAKER_00,4,583.2397,589.3487,6.109,4,20,3.82,2.289,3,0.763,3.274,0.625,
VAL_H1A_2020_003,SPEAKER_01,5,589.8007,602.2667,12.466,4,74,10.652,1.814,3,0.6047,5.936,0.854,0.6988
VAL_H1A_2020_003,SPEAKER_00,6,604.8217,609.4867,4.665,2,33,4.425,0.24,1,0.24,7.074,0.949,
VAL_H1A_2020_003,SPEAKER_01,7,610.7987,629.4067,18.608,9,68,12.664,5.944,8,0.743,3.654,0.681,0.7401
VAL_H1A_2020_003,SPEAKER_00,8,632.2087,635.1487,2.94,2,19,2.7,0.24,1,0.24,6.463,0.918,
VAL_H1A_2020_003,SPEAKER_01,9,636.5727,666.0377,29.465,9,145,23.871,5.594,8,0.6993,4.921,0.81,0.7667
VAL_H1A_2020_003,SPEAKER_00,10,668.1477,680.9347,12.787,5,33,6.42,6.367,4,1.5917,2.581,0.502,
VAL_H1A_2020_003,SPEAKER_01,11,681.5607,711.0197,29.459,9,129,22.511,6.948,8,0.8685,4.379,0.764,0.6732
VAL_H1A_2020_003,SPEAKER_00,12,711.6527,712.5827,0.93,1,7,0.93,0.0,0,0.0,7.527,1.0,
VAL_H1A_2020_003,SPEAKER_01,13,713.0927,713.5627,0.47,1,5,0.47,0.0,0,0.0,10.638,1.0,0.4970
VAL_H1A_2020_003,SPEAKER_00,14,714.2527,716.6237,2.371,2,15,1.951,0.42,1,0.42,6.326,0.823,
VAL_H1A_2020_003,SPEAKER_01,15,716.8137,721.9347,5.121,1,37,5.121,0.0,0,0.0,7.225,1.0,0.5832
VAL_H1A_2020_003,SPEAKER_00,16,722.5947,723.5847,0.99,1,4,0.99,0.0,0,0.0,4.04,1.0,
VAL_H1A_2020_003,SPEAKER_01,17,724.3157,725.5157,1.2,1,5,1.2,0.0,0,0.0,4.167,1.0,0.5222
VAL_H1A_2020_003,SPEAKER_00,18,726.5557,731.3247,4.769,2,18,3.581,1.188,1,1.188,3.774,0.751,
VAL_H1A_2020_003,SPEAKER_01,19,732.9267,747.9927,15.066,6,64,10.352,4.714,5,0.9428,4.248,0.687,0.7356
VAL_H1A_2020_003,SPEAKER_00,20,750.6667,757.8237,7.157,2,31,6.677,0.48,1,0.48,4.331,0.933,
VAL_H1A_2020_003,SPEAKER_01,21,759.1237,773.5307,14.407,4,72,12.592,1.815,3,0.605,4.998,0.874,0.6579
VAL_H1A_2020_003,SPEAKER_00,22,774.0907,779.6707,5.58,2,18,4.56,1.02,1,1.02,3.226,0.817,
VAL_H1A_2020_003,SPEAKER_01,23,780.8737,797.0047,16.131,3,80,14.41,1.721,2,0.8605,4.959,0.893,0.8017
VAL_H1A_2020_003,SPEAKER_00,24,798.8597,809.3517,10.492,5,30,5.622,4.87,4,1.2175,2.859,0.536,
VAL_H1A_2020_003,SPEAKER_01,25,810.7447,826.3797,15.635,5,74,11.276,4.359,4,1.0897,4.733,0.721,0.7282
VAL_H1A_2020_003,SPEAKER_00,26,828.9027,832.8447,3.942,1,14,3.942,0.0,0,0.0,3.551,1.0,
VAL_H1A_2020_003,SPEAKER_01,27,834.2857,845.6217,11.336,4,67,9.371,1.965,3,0.655,5.91,0.827,0.6687
VAL_H1A_2020_003,SPEAKER_00,28,856.1417,859.2117,3.07,2,14,2.57,0.5,1,0.5,4.56,0.837,
VAL_H1A_2020_003,SPEAKER_01,29,861.4457,875.7027,14.257,6,75,10.316,3.941,5,0.7882,5.261,0.724,0.7247
VAL_H1A_2020_003,SPEAKER_00,30,876.9627,879.3147,2.352,2,10,1.752,0.6,1,0.6,4.252,0.745,
VAL_H1A_2020_003,SPEAKER_01,31,880.5547,892.4187,11.864,5,60,9.524,2.34,4,0.585,5.057,0.803,0.6442
VAL_H1A_2020_003,SPEAKER_00,32,893.0787,899.8007,6.722,3,27,3.691,3.031,2,1.5155,4.017,0.549,
VAL_H1A_2020_003,SPEAKER_01,33,900.8747,915.6677,14.793,7,78,10.86,3.933,6,0.6555,5.273,0.734,0.6381
VAL_H1A_2020_003,SPEAKER_00,34,926.1797,928.0697,1.89,1,11,1.89,0.0,0,0.0,5.82,1.0,
VAL_H1A_2020_003,SPEAKER_01,35,929.8217,944.2727,14.451,7,73,11.421,3.03,6,0.505,5.052,0.79,0.6465
VAL_H1A_2020_003,SPEAKER_00,36,945.5127,948.9757,3.463,2,20,3.043,0.42,1,0.42,5.775,0.879,
VAL_H1A_2020_003,SPEAKER_01,37,949.8567,956.3417,6.485,4,27,4.634,1.851,3,0.617,4.163,0.715,0.7478
VAL_H1A_2020_003,SPEAKER_00,38,958.8277,962.5007,3.673,2,20,3.093,0.58,1,0.58,5.445,0.842,
VAL_H1A_2020_003,SPEAKER_01,39,963.8217,975.6187,11.797,4,54,9.75,2.047,3,0.6823,4.577,0.826,0.7359
VAL_H1A_2020_003,SPEAKER_00,40,977.1797,979.1397,1.96,1,11,1.96,0.0,0,0.0,5.612,1.0,
VAL_H1A_2020_003,SPEAKER_01,41,980.4337,984.6367,4.203,2,35,3.893,0.31,1,0.31,8.327,0.926,0.5575
VAL_H1A_2020_003,SPEAKER_00,42,987.9387,991.6867,3.748,2,16,2.41,1.338,1,1.338,4.269,0.643,
